FIPS,NAME,CLINTON,SANDERS,OMALLEY,DEM_OTHER
39049,Franklin,0.553,0.444,0.0,0.003
39051,Fulton,0.487,0.503,0.0,0.01
39053,Gallia,0.477,0.488,0.0,0.035
39055,Geauga,0.54,0.455,0.0,0.005
39057,Greene,0.494,0.5,0.0,0.006
39059,Guernsey,0.53,0.452,0.0,0.019
39061,Hamilton,0.595,0.402,0.0,0.003
39063,Hancock,0.449,0.542,0.0,0.009
39065,Hardin,0.526,0.457,0.0,0.017
39067,Harrison,0.532,0.438,0.0,0.031
39069,Henry,0.5,0.487,0.0,0.012
39071,Highland,0.552,0.431,0.0,0.017
39073,Hocking,0.523,0.46,0.0,0.017
39075,Holmes,0.488,0.485,0.0,0.027
39077,Huron,0.509,0.477,0.0,0.014
39079,Jackson,0.583,0.401,0.0,0.016
39081,Jefferson,0.547,0.423,0.0,0.03
39083,Knox,0.485,0.506,0.0,0.009
39085,Lake,0.543,0.449,0.0,0.008
39087,Lawrence,0.554,0.416,0.0,0.029
39089,Licking,0.533,0.459,0.0,0.008
39091,Logan,0.496,0.489,0.0,0.016
39093,Lorain,0.561,0.429,0.0,0.01
39095,Lucas,0.569,0.427,0.0,0.004
39097,Madison,0.568,0.428,0.0,0.003
39099,Mahoning,0.593,0.397,0.0,0.009
39101,Marion,0.569,0.42,0.0,0.012
39103,Medina,0.531,0.463,0.0,0.006
39105,Meigs,0.499,0.472,0.0,0.029
39107,Mercer,0.535,0.444,0.0,0.021
39109,Miami,0.532,0.456,0.0,0.011
39111,Monroe,0.481,0.459,0.0,0.06
39113,Montgomery,0.594,0.401,0.0,0.005
39115,Morgan,0.562,0.427,0.0,0.012
39117,Morrow,0.521,0.463,0.0,0.016
39119,Muskingum,0.566,0.424,0.0,0.01
39121,Noble,0.539,0.417,0.0,0.044
39123,Ottawa,0.554,0.434,0.0,0.011
39125,Paulding,0.558,0.417,0.0,0.025
39127,Perry,0.567,0.414,0.0,0.018
39129,Pickaway,0.556,0.432,0.0,0.012
39131,Pike,0.568,0.403,0.0,0.029
39133,Portage,0.49,0.502,0.0,0.009
39135,Preble,0.522,0.464,0.0,0.013
39137,Putnam,0.453,0.523,0.0,0.024
39139,Richland,0.555,0.433,0.0,0.012
39141,Ross,0.572,0.414,0.0,0.013
39143,Sandusky,0.534,0.457,0.0,0.009
39145,Scioto,0.537,0.446,0.0,0.017
39147,Seneca,0.496,0.492,0.0,0.011
39149,Shelby,0.523,0.452,0.0,0.024
39151,Stark,0.565,0.426,0.0,0.009
39153,Summit,0.566,0.429,0.0,0.005
39155,Trumbull,0.539,0.444,0.0,0.017
39157,Tuscarawas,0.516,0.463,0.0,0.021
39159,Union,0.508,0.483,0.0,0.009
39161,Van Wert,0.519,0.454,0.0,0.026
39163,Vinton,0.495,0.477,0.0,0.028
39165,Warren,0.533,0.463,0.0,0.004
39167,Washington,0.505,0.476,0.0,0.019
39169,Wayne,0.513,0.48,0.0,0.008
39171,Williams,0.458,0.526,0.0,0.016
39173,Wood,0.458,0.537,0.0,0.006
39175,Wyandot,0.497,0.486,0.0,0.017
04001,Apache,0.664,0.288,0.0,0.048
04003,Cochise,0.565,0.397,0.0,0.038
04005,Coconino,0.441,0.534,0.0,0.025
04007,Gila,0.592,0.352,0.0,0.056
04009,Graham,0.491,0.446,0.0,0.064
04011,Greenlee,0.546,0.357,0.0,0.098
04012,La Paz,0.517,0.433,0.0,0.05
04013,Maricopa,0.581,0.398,0.0,0.021
04015,Mohave,0.564,0.385,0.0,0.052
04017,Navajo,0.597,0.354,0.0,0.049
04019,Pima,0.573,0.409,0.0,0.018
04021,Pinal,0.621,0.344,0.0,0.034
04023,Santa Cruz,0.658,0.318,0.0,0.024
04025,Yavapai,0.529,0.447,0.0,0.024
04027,Yuma,0.637,0.315,0.0,0.048
16001,Ada,0.182,0.805,0.0,0.013
16003,Adams,0.275,0.696,0.0,0.029
16005,Bannock,0.2,0.797,0.0,0.003
